Region,Taux_pauvrete_pourcent,Annee_donnees
Pays de la Loire,11.0,2021
Bretagne,11.1,2021
Auvergne-Rhône-Alpes,13.3,2021
Bourgogne-Franche-Comté,13.4,2021
Centre-Val de Loire,13.5,2021
Normandie,13.7,2021
Nouvelle-Aquitaine,13.8,2021
Grand Est,15.1,2021
Île-de-France,16.1,2021
Provence-Alpes-Côte d'Azur,17.4,2021
Occitanie,17.5,2021
Hauts-de-France,18.0,2021
Corse,18.1,2021
Martinique,26.8,2021
La Réunion,36.1,2021
Guadeloupe,34.5,2017
Guyane,52.9,2017
Mayotte,77.3,2017
